32.0202, 5400, 1800, 0, -nan, -nan
35.4301, 5333.69, 3270.2, 0.000303952, 0, 0
35.4401, 5333.69, 3270.2, 0.000303952, -140.316, 1754.96
35.4501, 5331.66, 3288.1, 0.000307652, 0, 0
35.4601, 5331.66, 3288.1, 0.000307652, -202.222, 1788.2
35.4701, 5329.95, 3305.99, 0.000325343, 0, 0
35.4801, 5329.95, 3305.99, 0.000325343, -171.508, 1789.47
35.4901, 5329.95, 3305.99, 0.000325343, 0, 0
35.5001, 5329.95, 3305.99, 0.000325343, 0, 0
35.5101, 5328.06, 3342.1, 0.000299945, 0, 0
35.52, 5328.06, 3342.1, 0.000299945, -188.86, 3612.27
35.5301, 5328.35, 3360, 0.000300283, 0, 0
35.5401, 5328.35, 3360, 0.000300283, 28.9447, 1781.64
35.5501, 5328.95, 3378.2, 0.000296515, 0, 0
35.5601, 5328.95, 3378.2, 0.000296515, 59.8532, 1819.34
35.5701, 5330.78, 3396.57, 0.000309892, 0, 0
35.5801, 5330.78, 3396.57, 0.000309892, 182.948, 1832.48
35.5901, 5331.38, 3414.93, 0.000303318, 0, 0
35.6001, 5331.38, 3414.93, 0.000303318, 59.8047, 1833.93
35.6101, 5332.44, 3433.44, 0.000341403, 0, 0
35.6201, 5332.44, 3433.44, 0.000341403, 105.712, 1844.47
35.6301, 5334.74, 3451.96, 0.000353362, 0, 0
35.6401, 5334.74, 3451.96, 0.000353362, 229.385, 1850.84
35.6501, 5342.28, 3470.49, 0.000351213, 0, 0
35.6601, 5342.28, 3470.49, 0.000351213, 753.665, 1851.26
35.6701, 5345.81, 3489, 0.000336862, 0, 0
35.6801, 5345.81, 3489, 0.000336862, 351.956, 1846.75
35.6901, 5348.87, 3508.29, 0.000341748, 0, 0
35.7001, 5348.87, 3508.29, 0.000341748, 306.395, 1927.71
35.7101, 5351.79, 3527.74, 0.000334293, 0, 0
35.7201, 5351.79, 3527.74, 0.000334293, 290.949, 1943.11
35.7301, 5355.16, 3547.49, 0.000342354, 0, 0
35.7401, 5355.16, 3547.49, 0.000342354, 337.802, 1977.62
35.7501, 5360.39, 3566.63, 0.000329476, 0, 0
35.7601, 5360.39, 3566.63, 0.000329476, 522.367, 1912.88
35.7701, 5362.37, 3585.76, 0.000337194, 0, 0
35.7801, 5362.37, 3585.76, 0.000337194, 198.118, 1908.72
35.7901, 5364.51, 3606.13, 0.000340437, 0, 0
35.8001, 5364.51, 3606.13, 0.000340437, 213.682, 2034.72
35.8101, 5366.19, 3626.96, 0.000348878, 0, 0
35.8201, 5366.19, 3626.96, 0.000348878, 167.604, 2083.94
